date,0_mean,1_mean,2_mean,3_mean,4_mean,0_count,1_count,2_count,3_count,4_count
2018-12-06 14:00:00,0.454102,0.132882,0.100359,0.0973929,0.215265,1,1,1,1,1
2018-12-06 15:00:00,0.381275,0.0181971,0.564133,0.0181971,0.0181971,1,1,1,1,1
2018-12-06 16:00:00,,,,,,0,0,0,0,0
2018-12-06 17:00:00,,,,,,0,0,0,0,0
2018-12-06 18:00:00,,,,,,0,0,0,0,0
2018-12-06 19:00:00,,,,,,0,0,0,0,0
2018-12-06 20:00:00,,,,,,0,0,0,0,0
2018-12-06 21:00:00,,,,,,0,0,0,0,0
2018-12-06 22:00:00,,,,,,0,0,0,0,0
2018-12-06 23:00:00,,,,,,0,0,0,0,0
2018-12-07 00:00:00,,,,,,0,0,0,0,0
2018-12-07 01:00:00,,,,,,0,0,0,0,0
2018-12-07 02:00:00,,,,,,0,0,0,0,0
2018-12-07 03:00:00,,,,,,0,0,0,0,0
2018-12-07 04:00:00,,,,,,0,0,0,0,0
2018-12-07 05:00:00,,,,,,0,0,0,0,0
2018-12-07 06:00:00,,,,,,0,0,0,0,0
2018-12-07 07:00:00,,,,,,0,0,0,0,0
2018-12-07 08:00:00,,,,,,0,0,0,0,0
2018-12-07 09:00:00,,,,,,0,0,0,0,0
2018-12-07 10:00:00,,,,,,0,0,0,0,0
2018-12-07 11:00:00,,,,,,0,0,0,0,0
2018-12-07 12:00:00,,,,,,0,0,0,0,0
2018-12-07 13:00:00,,,,,,0,0,0,0,0
2018-12-07 14:00:00,,,,,,0,0,0,0,0
2018-12-07 15:00:00,,,,,,0,0,0,0,0
2018-12-07 16:00:00,,,,,,0,0,0,0,0
2018-12-07 17:00:00,,,,,,0,0,0,0,0
2018-12-07 18:00:00,,,,,,0,0,0,0,0
2018-12-07 19:00:00,,,,,,0,0,0,0,0
2018-12-07 20:00:00,,,,,,0,0,0,0,0
2018-12-07 21:00:00,,,,,,0,0,0,0,0
2018-12-07 22:00:00,,,,,,0,0,0,0,0
2018-12-07 23:00:00,,,,,,0,0,0,0,0
2018-12-08 00:00:00,,,,,,0,0,0,0,0
2018-12-08 01:00:00,,,,,,0,0,0,0,0
2018-12-08 02:00:00,,,,,,0,0,0,0,0
2018-12-08 03:00:00,,,,,,0,0,0,0,0
2018-12-08 04:00:00,,,,,,0,0,0,0,0
2018-12-08 05:00:00,,,,,,0,0,0,0,0
2018-12-08 06:00:00,,,,,,0,0,0,0,0
2018-12-08 07:00:00,,,,,,0,0,0,0,0
2018-12-08 08:00:00,,,,,,0,0,0,0,0
2018-12-08 09:00:00,,,,,,0,0,0,0,0
2018-12-08 10:00:00,,,,,,0,0,0,0,0
2018-12-08 11:00:00,,,,,,0,0,0,0,0
2018-12-08 12:00:00,,,,,,0,0,0,0,0
2018-12-08 13:00:00,,,,,,0,0,0,0,0
2018-12-08 14:00:00,,,,,,0,0,0,0,0
2018-12-08 15:00:00,,,,,,0,0,0,0,0
2018-12-08 16:00:00,,,,,,0,0,0,0,0
2018-12-08 17:00:00,,,,,,0,0,0,0,0
2018-12-08 18:00:00,,,,,,0,0,0,0,0
2018-12-08 19:00:00,,,,,,0,0,0,0,0
2018-12-08 20:00:00,,,,,,0,0,0,0,0
2018-12-08 21:00:00,,,,,,0,0,0,0,0
2018-12-08 22:00:00,,,,,,0,0,0,0,0
2018-12-08 23:00:00,,,,,,0,0,0,0,0
2018-12-09 00:00:00,,,,,,0,0,0,0,0
2018-12-09 01:00:00,,,,,,0,0,0,0,0
2018-12-09 02:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 03:00:00,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,15,15,15,15,15
2018-12-09 04:00:00,0.2,0.2,0.2,0.2,0.2,2,2,2,2,2
2018-12-09 05:00:00,0.2,0.2,0.2,0.2,0.2,2,2,2,2,2
2018-12-09 06:00:00,,,,,,0,0,0,0,0
2018-12-09 07:00:00,,,,,,0,0,0,0,0
2018-12-09 08:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 09:00:00,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3,3,3,3,3
2018-12-09 10:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 11:00:00,,,,,,0,0,0,0,0
2018-12-09 12:00:00,0.2,0.2,0.2,0.2,0.2,2,2,2,2,2
2018-12-09 13:00:00,0.2,0.2,0.2,0.2,0.2,1,1,1,1,1
2018-12-09 14:00:00,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,3,3,3,3,3
